time phi1_2 psi1_2 phi2_3 psi2_3 phi2_4 psi2_4
1970.0 -1.130498 1.996544 1.047084 2.922808 -1.345802 2.667989
1980.0 -1.10826 -1.14951 1.112258 -2.887905 -1.081141 2.384647
1990.0 -1.160007 1.803118 0.981126 -2.947964 -1.101048 2.358202
2000.0 -0.491523 -0.926906 1.033046 2.90947 -1.202659 2.507802
2010.0 -1.057098 -0.497448 0.902145 3.105413 -1.196561 2.340379
2020.0 -1.025764 2.254968 0.969493 3.138129 -1.277465 2.501428
2030.0 -1.80025 -0.628188 0.909357 -3.066329 -1.143326 2.402766
2040.0 -1.254732 1.935298 1.084079 2.855705 -1.318798 2.449846
2050.0 -1.063102 2.196984 1.05262 2.905623 -1.355835 2.405295
2060.0 -1.179402 2.355083 1.042666 -2.918007 -0.96937 2.62797
2070.0 -1.611713 1.72439 1.155492 -2.611494 -1.42004 1.59008
2080.0 -1.026017 -0.9259 1.241766 2.971771 -1.327624 2.368703
2090.0 -1.155164 -0.781917 0.80489 -2.9182 -0.942212 2.539554
2100.0 -1.305547 -0.308733 0.894889 2.862853 -1.366124 2.45138
2110.0 -1.327119 2.361825 0.904739 3.137123 -1.273393 2.607485
2120.0 -1.575254 -0.886296 1.050484 3.098554 -0.932644 2.379514
2130.0 -1.692912 -0.853451 1.099953 -2.962289 -1.064678 2.321312
2140.0 -1.14555 -0.342017 0.9323 2.855167 -1.308228 2.36011
2150.0 -1.284765 -0.42869 0.90267 -2.887292 -1.117682 2.374899
2160.0 -0.868031 2.040573 0.821861 -3.101824 -1.03464 2.500278
2170.0 -1.159216 2.238565 0.93059 3.131587 -1.317056 2.355389
2180.0 -1.182762 -0.152842 1.08368 3.031885 -1.376338 2.271248
2190.0 -1.369075 1.927434 0.950496 -3.060477 -1.125112 2.661949
2200.0 -0.885919 -0.466942 1.149382 -3.075808 -1.069241 2.081482
2210.0 -1.139158 -0.288581 0.681904 -3.134046 -1.265447 2.472746
2220.0 -1.094863 -0.772501 0.889363 -2.880982 -1.081061 2.430026
2230.0 -1.17637 -0.750814 0.873575 -3.117765 -1.155859 2.417865
2240.0 -2.405325 1.560378 1.701529 -2.720149 -1.183719 2.680432
2250.0 -0.971423 -0.718942 1.131403 -2.831617 -1.215467 2.500037
2260.0 -1.055785 -0.653038 1.123684 -2.96941 -0.987333 2.490505
2270.0 -1.145369 -0.656105 1.086409 -3.035618 -0.991583 2.121331
2280.0 -0.99832 -0.738041 1.135338 -3.070846 -1.084491 2.442837
2290.0 -1.334152 -0.801489 0.780349 -2.908909 -1.133742 2.272509
2300.0 -0.828606 -0.758894 0.989176 2.934812 -1.356292 2.398969
2310.0 -0.814111 -0.70881 0.939938 -2.955306 -1.327696 2.300633
2320.0 -1.209841 -0.262819 1.235661 3.025219 -1.549475 2.669719
2330.0 -1.139506 -0.633629 0.840837 -2.753325 -1.095244 2.297087
2340.0 -1.296707 1.802189 1.463229 -2.52729 -1.251092 2.564358
2350.0 -1.59621 2.020071 1.302493 -2.743246 -1.463604 2.97524
2360.0 -1.334615 1.911391 1.247682 -2.942463 -1.125409 2.699197
2370.0 -1.131681 -0.461352 0.949728 3.089606 -1.043076 2.305471
2380.0 -0.994223 -0.86536 0.911712 3.078202 -1.542687 2.121072
2390.0 -1.057608 -0.574666 0.937638 -3.058319 -1.167521 2.448533
2400.0 -1.288853 -0.41638 0.882749 -2.814316 -1.016763 2.413501
2410.0 -1.167812 1.869071 1.385836 -2.84749 -1.506502 2.775723
2420.0 -1.099199 -0.596729 0.643584 2.948649 -1.404303 2.518837
2430.0 -1.313779 2.337261 1.295149 -2.532891 -1.131544 2.584464
2440.0 -1.2401 -0.364999 0.697235 -3.088804 -1.283069 2.306699
2450.0 -1.235731 -0.252522 0.927 -2.993576 -1.11245 2.249101
2460.0 -1.09455 -0.925029 0.85665 -2.890473 -1.062217 2.230616
2470.0 -1.35208 -1.213391 0.616509 -2.855468 -1.063408 2.378227
2480.0 -1.360464 -0.848114 1.122447 -3.109455 -1.112614 2.185522
2490.0 -1.125017 2.265603 1.57273 -2.54911 -1.216563 2.727108
2500.0 -1.085899 -0.468853 0.958306 3.107607 -1.21255 2.234882
2510.0 -1.455115 -0.703635 0.940836 3.043407 -0.931058 2.852435
2520.0 -1.110406 -0.80899 1.122826 -3.135427 -1.231301 2.327867
2530.0 -1.034333 -0.75898 0.711573 -2.866416 -1.292828 2.386073
2540.0 -1.401313 2.252383 1.328676 -2.523339 -1.44748 2.513298
2550.0 -0.891076 -0.561861 1.15363 3.09289 -1.381624 2.581275
2560.0 -0.88152 -0.692459 0.935285 -2.915978 -1.232091 2.395859
2570.0 -1.363156 2.049133 0.991583 -2.505634 -1.141119 2.447402
2580.0 -1.171953 -0.341988 1.071096 2.849992 -1.220284 2.561095
2590.0 -1.386992 1.976466 0.65892 -2.99309 -0.961854 2.379035
2600.0 -1.176975 -0.793728 0.943229 3.084962 -1.335711 2.374808
2610.0 -1.134313 -0.731509 1.812419 -2.807836 -1.567017 2.769095
2620.0 -1.229537 2.119578 1.229093 -2.991927 -1.017522 2.443371
2630.0 -1.417931 2.189561 1.064831 -2.48919 -1.171253 2.873482
2640.0 -1.332278 2.077202 1.225637 -2.618953 -1.11862 2.6532
2650.0 -0.823819 -0.918339 1.968224 -2.882317 -1.247498 2.149334
2660.0 -1.060413 -0.341873 1.85079 -2.715698 -1.236375 2.31702
2670.0 -1.264608 2.234416 1.540804 -2.542879 -0.997932 2.374782
2680.0 -1.429187 2.150699 1.320869 -2.502482 -1.267282 2.516811
2690.0 -0.927031 -0.655434 0.84017 2.960754 -1.361115 2.367042
2700.0 -0.821359 -0.5756 1.04969 -3.0462 -1.109233 2.454029
2710.0 -0.745362 -0.723993 0.780854 -2.875176 -1.06413 2.237109
2720.0 -0.910723 -0.669927 0.863046 -2.912494 -1.155475 2.535999
2730.0 -0.925434 -0.44662 1.309503 -3.101006 -0.847736 2.504163
2740.0 -1.030324 -0.959181 0.77918 -3.056944 -1.263438 2.542096
2750.0 -1.489167 -0.893314 0.615284 -3.072917 -1.332584 2.546635
2760.0 -1.328825 -0.774038 0.993624 3.01038 -1.297403 2.353952
2770.0 -1.352594 2.360725 1.20452 -2.404848 -1.352805 1.513174
2780.0 -1.151729 2.36515 1.36715 -2.307155 -1.243266 1.40808
2790.0 -1.374793 -0.93944 0.87679 -2.988105 -1.049451 2.562532
2800.0 -1.086608 1.906341 1.093377 3.00014 -1.28968 2.55153
2810.0 -1.530697 -1.31042 0.923445 -2.826406 -1.187577 2.601304
2820.0 -1.302094 -0.850225 0.975198 -2.81492 -1.204229 2.306834
2830.0 -1.017288 -0.578634 0.937227 2.997959 -1.42658 2.554216
2840.0 -1.158491 -0.754837 1.095639 -2.768491 -1.282066 2.360711
2850.0 -1.299861 -0.694667 1.015817 -3.129103 -1.265863 2.362677
2860.0 -1.741297 1.801025 1.635708 -2.420387 -1.078756 2.494208
2870.0 -1.276013 2.249157 0.760927 -2.510422 -1.264783 1.150934
2880.0 -1.106438 -0.706886 1.253311 -2.990365 -1.318349 2.543069
2890.0 -1.039583 1.969931 0.874138 -2.571888 -1.835793 1.247815
2900.0 -0.97515 2.14351 1.268435 -2.903458 -1.596923 1.425793
2910.0 -1.265221 -0.8639 0.867493 -3.044125 -1.141154 2.439925
2920.0 -1.560652 -1.029366 1.211998 3.128578 -1.095068 2.355452
2930.0 -1.406937 -1.038022 0.679638 -3.027862 -1.14178 2.559703
2940.0 -1.598798 -0.960406 1.123179 -3.013813 -1.231608 2.58439
2950.0 -1.388213 -0.933827 0.786582 -3.016931 -1.491571 2.506172
2960.0 -1.449179 -0.415587 1.213341 -3.131348 -1.395995 2.09723
2970.0 -1.045278 -0.773536 0.795628 -2.912586 -1.363392 2.321204
2980.0 -0.955336 -0.578166 0.893498 -2.964668 -1.282457 2.400078
2990.0 -1.199817 -0.62992 0.909429 -2.991102 -1.289092 2.328731
3000.0 -0.689034 -0.791947 1.188442 2.883859 -1.353112 2.477574
3010.0 -0.724961 -0.48151 1.106342 -3.096704 -1.060549 2.027289
3020.0 -1.244415 -0.375023 1.031611 -3.027351 -1.234366 2.279475
3030.0 -1.648062 1.027423 1.173826 -2.732473 -0.99637 2.538928
3040.0 -1.360247 -1.461551 0.93562 -2.840761 -1.102395 2.499971
3050.0 -1.421637 -1.019501 1.103427 -2.924398 -1.29002 2.306479
3060.0 -1.300289 -1.010448 0.972546 -3.008504 -1.329431 2.493232
3070.0 -1.178033 2.061957 1.080466 -2.934203 -0.955509 2.465737
3080.0 -1.064357 1.980128 1.506028 -1.932441 -1.592506 2.480061
3090.0 -0.698472 -0.808566 0.942648 3.087312 -1.186432 2.246185
3100.0 -1.063868 2.094347 1.499398 -1.445565 -1.763095 2.248246
3110.0 -0.940596 2.013157 1.199024 2.962794 -1.165101 2.202172
3120.0 -1.013399 -0.528858 1.145763 3.08533 -1.283984 2.292592
3130.0 -1.197688 -1.121775 0.842953 -2.948702 -1.043145 2.437493
3140.0 -1.368367 -0.42488 0.99628 -3.016876 -1.005718 2.410435
3150.0 -1.473042 -0.850985 1.09474 -2.972789 -1.319593 2.732917
3160.0 -1.370861 -1.026863 0.894579 -2.973082 -1.137255 2.486463
3170.0 -1.209667 -1.027811 0.97206 -2.912097 -1.090619 2.169427
3180.0 -0.93074 1.840884 0.85949 -3.011631 -1.16706 2.482492
3190.0 -1.102545 -0.630698 1.056771 -3.066104 -1.183397 2.269707
3200.0 -1.040267 -0.775359 0.84225 3.115654 -1.47936 2.422589
3210.0 -1.123516 1.995597 0.917734 2.898573 -1.146673 2.386745
3220.0 -1.121464 2.026525 1.028444 3.039728 -1.290682 2.45438
3230.0 -1.076552 -0.625324 1.078017 3.088266 -1.271693 2.493781
3240.0 -1.279364 -0.474407 1.122716 3.107565 -0.997484 2.170467
3250.0 -1.071863 -0.67377 1.26289 -2.912677 -1.362514 2.341176
3260.0 -1.281654 -1.136511 0.817268 -3.132925 -1.157493 2.312393
3270.0 -1.003756 1.953869 0.723324 -2.926331 -1.096378 2.404124
3280.0 -1.169886 -0.441155 1.054247 3.140527 -1.378906 2.310016
3290.0 -1.065564 -0.202857 1.025014 3.131322 -1.137532 1.955891
