time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
2990.0 1.229691 -3.109544 -1.076983 -1.473374 -2.735035
3000.0 0.957716 -1.732399 -1.139483 -1.334307 -2.930086
3010.0 1.173073 -1.647486 -1.048581 -1.585121 -3.090975
3020.0 0.981557 -2.82621 -0.630445 -1.293344 -2.823517
3030.0 1.233048 3.119049 -3.072387 -0.919591 -2.398667
3040.0 1.088518 -3.043898 -0.822034 -1.204179 -2.297482
3050.0 1.518826 -1.306556 -0.861669 -1.551173 3.062964
3060.0 1.215737 -3.092636 -3.119568 -1.683602 3.128323
3070.0 1.134205 -2.983031 2.95991 -1.516442 -3.082347
3080.0 1.204248 -2.720395 3.036572 -1.437956 -2.862522
3090.0 -0.861863 3.013132 0.828206 -1.274515 -1.984576
3100.0 0.915863 -1.517854 -0.586335 -1.5781 -2.731254
3110.0 1.00113 -2.952928 2.951365 -1.104041 -2.522599
3120.0 0.819717 3.140173 3.112875 -1.339213 -2.853476
3130.0 0.817366 3.055153 -2.806764 -1.015315 -2.5089
3140.0 1.316034 -2.97473 -0.979626 -1.23181 -2.605315
3150.0 0.949692 -3.052599 -3.021924 -0.891832 -2.088937
3160.0 0.995515 -2.922688 -2.984494 -1.061034 -2.235344
3170.0 1.150933 -2.907584 -1.054496 -1.189457 -2.713531
3180.0 1.370073 -2.908948 -2.907115 -0.781117 -1.883562
3190.0 0.500428 3.112887 -0.598063 -1.064833 -2.82625
3200.0 1.120513 -2.480317 -2.953415 -1.358296 -1.741692
3210.0 1.126284 -2.81246 -2.947508 -1.142773 -1.856546
3220.0 1.192311 -2.673905 -0.971322 -1.663691 -2.964266
3230.0 1.348898 -2.886107 -1.113379 -1.774543 -3.013239
3240.0 1.140099 -3.064327 -3.001906 -1.502528 -2.486473
3250.0 1.266507 -2.622952 -2.799972 -1.570797 -2.77499
3260.0 1.120584 -2.751032 -3.102728 -1.39991 -2.923739
3270.0 0.981021 -3.031279 -0.958865 -1.053402 -2.799449
3280.0 1.143309 -2.787938 -1.068712 -1.44061 -2.578889
3290.0 1.024188 -3.115523 -2.943432 -1.546489 3.113668
3300.0 1.210284 -2.62476 -2.864979 -1.107656 -1.915351
3310.0 0.832681 2.665238 -2.992464 -1.340399 -2.757352
3320.0 1.50828 -2.827833 -3.043296 -1.31888 -2.100801
3330.0 1.163132 -2.969723 -2.847366 -1.174945 -2.144016
3340.0 1.089721 -3.061538 -3.067542 -1.852135 3.105891
3350.0 0.664074 -2.799336 -2.774289 -1.57335 -3.065076
3360.0 1.363779 -2.893913 -0.914605 -1.211878 -2.683724
3370.0 0.881865 -2.842278 -2.954819 -1.673567 -2.762429
3380.0 1.017409 2.713046 -2.879316 -1.649629 3.012995
3390.0 1.265228 -3.017441 -2.917327 -1.593235 -2.934914
3400.0 1.307342 3.066975 -2.871812 -1.198614 -1.903412
3410.0 1.269561 -2.968503 3.107903 -1.690041 -3.134539
3420.0 1.136606 -2.712362 -2.999187 -1.319763 -2.085949
3430.0 0.974234 -2.896459 3.120157 -1.520101 3.079385
3440.0 1.281335 -2.531739 -2.919297 -0.860744 -2.482484
3450.0 0.697129 2.791213 -2.871227 -1.330787 -3.071734
3460.0 1.044539 2.76787 -3.121644 -1.433283 -2.736065
3470.0 1.143682 -2.37872 3.053782 -1.392866 3.06648
3480.0 1.218707 -2.751835 -3.128166 -1.089247 -2.119211
3490.0 -0.589856 -2.924952 -2.831459 -1.123153 -2.584278
3500.0 -2.775297 -2.85633 -2.886133 -1.205443 -2.243527
3510.0 1.466989 -2.980488 -2.789139 -1.045826 -2.629035
3520.0 1.384353 -3.055 -2.674363 -1.07003 -2.445734
3530.0 0.952144 -2.864267 3.119419 -1.419163 -2.975353
3540.0 1.287887 -2.870547 -3.058303 -1.508279 -2.903122
3550.0 0.683305 2.742406 -3.073522 -1.45813 -2.951688
3560.0 0.805291 -2.962889 -2.925677 -1.721982 3.090766
3570.0 0.905968 -2.631756 -2.898356 -1.164049 -2.477369
3580.0 1.087357 2.545031 -3.100552 -1.516338 -2.956694
3590.0 0.737428 -3.100197 -2.792294 -1.118159 -2.377352
3600.0 1.008669 3.021459 -2.917969 -1.712235 -2.87366
3610.0 1.107623 -2.904213 -1.161581 -1.258964 -2.552856
3620.0 1.040449 3.042444 -1.070144 -1.212495 -2.479582
3630.0 1.064515 -2.770502 -2.695259 -1.637501 -3.113297
3640.0 1.056864 -2.371764 -0.842954 -1.3628 -2.863242
3650.0 1.266697 3.126875 -0.903265 -1.280301 -2.813961
3660.0 0.979836 -3.064674 -2.91573 -1.289797 -2.831876
3670.0 0.908396 2.370786 3.115989 -1.072271 -2.148998
3680.0 1.048399 -2.856816 -2.942395 -1.07903 -2.676897
3690.0 0.94127 -3.103059 -3.028719 -1.079232 -2.676371
3700.0 1.037894 3.105959 -3.005838 -1.106529 -2.092571
3710.0 1.146544 3.08009 -3.032332 -1.061839 -2.203051
3720.0 0.885061 -2.981484 -2.756816 -1.092887 -2.845168
3730.0 1.146286 -3.104607 -3.081021 -1.429587 -2.745214
3740.0 1.180969 -2.94003 -2.90862 -1.272733 -2.877796
3750.0 1.364491 -2.888103 3.1185 -1.138655 -2.600246
3760.0 0.818155 -2.941263 -3.082724 -1.362078 -2.654171
3770.0 0.66709 2.987729 -3.074366 -1.834264 -2.764952
3780.0 1.023662 2.44014 3.119652 -1.173904 -2.012286
3790.0 0.928227 2.964188 -3.086726 -1.782597 -3.119518
3800.0 1.13042 3.039669 -2.94483 -1.403289 -2.893902
3810.0 1.205759 3.013052 -2.754123 -1.338115 3.108994
3820.0 1.389754 -2.969078 -0.809053 -1.238939 -2.259434
3830.0 1.224731 3.103394 -1.156533 -1.044914 -2.293964
3840.0 1.114375 -2.877022 -0.975369 -1.028605 -1.697187
3850.0 1.020053 -2.883412 0.919626 -1.374721 2.958761
3860.0 1.014453 2.852641 -0.958851 -0.904265 -2.277756
3870.0 1.370483 -2.700387 -1.22608 -1.232534 -3.016526
3880.0 0.947803 2.820435 -0.768576 -1.539761 -2.524456
3890.0 0.825186 3.054788 -0.846969 -1.17167 -2.532684
3900.0 1.080724 2.51979 3.002444 -1.739982 -2.948473
3910.0 1.176193 -2.723227 -2.893722 -1.416362 -2.622178
3920.0 1.130074 -2.789279 -0.996601 -1.469305 -2.825043
3930.0 0.899303 -2.993444 -0.9358 -1.197142 -2.57389
3940.0 1.023717 -3.026827 -0.820769 -1.496727 -2.728105
3950.0 1.066187 -3.004399 -0.926387 -1.13167 -2.53104
3960.0 1.059674 -3.099047 -0.934232 -1.126556 -2.476291
3970.0 0.753063 2.988467 -3.113805 -1.550656 -3.128528
3980.0 0.956917 2.706651 3.113574 -1.412452 3.121198
3990.0 1.212849 -2.860847 -0.832189 -1.356944 -2.946131
4000.0 1.307707 -3.119287 -2.748833 -1.413737 -3.093523
4010.0 1.110385 -2.610524 -2.951723 -1.447535 -3.090388
4020.0 1.192699 -2.750274 -2.84688 -1.797839 -2.829183
4030.0 0.629791 3.062911 -0.842678 -0.627294 -2.901025
4040.0 0.873758 2.775789 -0.84478 -1.092878 -2.919296
4050.0 0.880274 2.677661 -0.844993 -1.567539 -2.865739
4060.0 0.9243 -3.033475 2.924447 -1.138283 -2.752231
4070.0 0.86143 2.906853 -1.195539 -1.459204 -2.80234
4080.0 1.14577 -3.070679 -3.038172 -1.635521 -3.11548
4090.0 1.02504 -2.973091 -0.825866 -1.460709 -2.880761
4100.0 0.802795 2.910573 3.069775 -0.922344 -2.088865
4110.0 1.219104 -2.334847 -0.891165 -1.400201 -3.015567
4120.0 0.503158 2.938128 -1.028171 -1.069759 -2.459718
4130.0 0.836808 -2.945964 -1.025463 -1.108732 -2.800154
4140.0 0.925354 -3.067753 -3.07989 -1.089338 -2.495689
4150.0 1.174683 -2.890778 -0.982421 -1.316468 -2.862203
4160.0 1.277619 -2.838259 -1.01112 -1.0118 -2.439327
4170.0 1.090853 -3.004301 -2.830217 -1.452668 -1.906197
