time phi1_2 psi1_2
7220.0 1.121992 -3.064956
7230.0 0.975088 -2.773437
7240.0 1.368331 -2.693246
7250.0 0.957074 -2.887399
7260.0 1.178948 -2.704783
7270.0 1.296241 -2.812352
7280.0 1.67519 -2.999731
7290.0 1.091946 -2.905896
7300.0 1.643403 -2.840611
7310.0 1.168126 -2.9518
7320.0 1.091537 -2.89435
7330.0 1.305373 -3.066943
7340.0 1.012858 -2.834605
7350.0 1.326708 -2.845699
7360.0 1.159165 3.1124
7370.0 1.114143 -2.770367
7380.0 1.212823 -2.896202
7390.0 1.076809 -2.810092
7400.0 0.94564 2.918568
7410.0 0.838237 -2.77346
7420.0 1.081237 -2.81991
7430.0 0.98615 -2.839139
7440.0 1.095978 -2.919522
7450.0 1.421454 -3.032272
7460.0 1.288286 -3.038785
7470.0 0.846006 2.888357
7480.0 1.142578 -2.992329
7490.0 0.915247 -3.011156
7500.0 1.123822 -2.883108
7510.0 0.894678 -3.036714
7520.0 1.05804 -2.728387
7530.0 1.463208 -2.951529
7540.0 1.218962 -2.9165
7550.0 1.05759 -3.030878
7560.0 1.559484 -2.761494
7570.0 1.154319 -3.09876
7580.0 1.460673 -2.657684
7590.0 0.884237 -2.560908
7600.0 1.478382 2.967665
7610.0 1.217549 -2.825294
7620.0 0.904605 -2.93804
7630.0 1.192967 3.116517
7640.0 0.970602 -2.955682
7650.0 0.845893 -2.788005
7660.0 1.295058 3.135193
7670.0 0.872655 -2.627419
7680.0 0.942955 -2.627281
7690.0 0.97404 -2.908465
7700.0 0.967367 -2.847305
7710.0 1.206612 -2.956161
7720.0 0.851639 2.858697
7730.0 1.095439 -2.949035
7740.0 1.102588 -2.810729
7750.0 0.830412 -2.952918
7760.0 1.73462 2.955545
7770.0 1.185017 -3.093606
7780.0 1.309511 -2.966937
7790.0 1.00254 3.050667
7800.0 1.18121 -2.901018
7810.0 1.480302 -2.847367
7820.0 1.143152 -2.720566
7830.0 1.191681 -2.957644
7840.0 1.049406 -3.064011
7850.0 0.96356 -3.007412
7860.0 1.709692 -2.74805
7870.0 0.744926 -2.8614
7880.0 1.097703 -2.704538
7890.0 0.965707 -2.9384
7900.0 0.845168 -3.057182
7910.0 0.99932 -2.973684
7920.0 1.364154 -2.791543
7930.0 1.410474 -2.915046
7940.0 1.597958 -2.824058
7950.0 1.010359 -2.780357
7960.0 1.525596 -2.967648
7970.0 0.932852 -3.069388
7980.0 1.286528 -3.00263
7990.0 1.491797 -2.799661
8000.0 1.802956 -2.588694
8010.0 1.404475 -2.947921
8020.0 1.185121 -2.94883
8030.0 1.442465 -2.812309
8040.0 1.655474 -2.754278
8050.0 1.564611 -2.740259
8060.0 0.758996 -2.875675
8070.0 0.950056 -2.815853
8080.0 1.013092 -3.117994
8090.0 1.220877 -3.052653
8100.0 1.0645 -2.952825
8110.0 1.246475 -3.018857
8120.0 1.001959 -2.98898
8130.0 1.455444 -2.948784
8140.0 1.001392 -2.86977
8150.0 1.179975 -2.865319
8160.0 1.177324 -2.896698
8170.0 1.389546 -2.813089
8180.0 1.010617 2.97956
8190.0 1.312321 -2.824312
8200.0 1.159661 -2.657505
8210.0 1.565244 3.042168
8220.0 1.825805 -2.92921
8230.0 1.568323 -3.097573
8240.0 1.576045 -2.60541
8250.0 1.224173 -2.932904
8260.0 1.279893 -2.933646
8270.0 1.08627 -2.855423
8280.0 1.32107 -2.911003
8290.0 1.18663 -3.092033
8300.0 1.551858 -3.069353
8310.0 1.241029 -2.959916
8320.0 1.064179 -3.130871
8330.0 0.89154 3.033396
8340.0 1.18218 -2.724742
8350.0 1.039348 -3.064821
8360.0 1.274153 -2.978449
8370.0 1.25474 -2.679762
8380.0 1.473042 -2.81634
8390.0 1.239115 -2.978385
8400.0 1.031929 -2.709896
8410.0 1.377053 -3.073856
8420.0 0.993231 3.01423
8430.0 1.059253 -2.924305
8440.0 0.925983 -2.868053
8450.0 1.104036 -3.082469
8460.0 1.038515 -3.050861
8470.0 1.005986 -2.903615
8480.0 0.639682 -3.081455
8490.0 1.068286 3.082248
8500.0 1.3441 -3.123241
8510.0 0.900552 -2.897315
8520.0 1.246659 -2.766027
8530.0 1.221308 -3.000686
8540.0 0.992857 -2.705581
8550.0 0.788718 -2.786559
8560.0 1.126376 -2.838713
8570.0 1.659752 -2.790669
8580.0 0.86889 -2.971146
8590.0 1.449618 -2.942601
8600.0 1.142049 -2.842582
8610.0 1.32498 -2.826179
8620.0 1.23421 -2.858773
8630.0 0.987087 -3.034378
8640.0 1.103153 3.088392
8650.0 1.377699 -3.069154
8660.0 1.153605 -2.998896
8670.0 1.435011 -2.93775
8680.0 1.245229 -2.828778
8690.0 1.081705 -2.724651
8700.0 1.534941 -2.876876
8710.0 1.578513 -2.989275
8720.0 1.08057 -2.553904
8730.0 1.046302 -2.888594
8740.0 0.905867 2.923079
8750.0 1.079982 -2.695694
8760.0 1.213648 -2.686531
8770.0 1.108203 -2.965573
8780.0 1.07543 -2.996878
8790.0 0.957214 -2.750337
8800.0 1.026193 -2.97469
8810.0 1.120226 3.045728
