time phi1_2 psi1_2 omega1_2
5590.0 -0.943262 -2.417002 -2.886616
5600.0 -1.32128 -2.835338 -2.981634
5610.0 -1.406242 2.919163 -2.854012
5620.0 -0.992098 -3.078739 -2.904572
5630.0 -1.056235 2.646572 -2.929718
5640.0 -1.290536 -3.077027 -2.725098
5650.0 -1.133713 2.959824 -2.84053
5660.0 -1.334713 -2.915339 -3.055788
5670.0 -1.688206 -2.645363 -2.756927
5680.0 -1.410479 3.030535 -2.97155
5690.0 -1.269793 2.929846 3.063007
5700.0 -1.514557 -3.065884 -2.7672
5710.0 -1.016269 -2.905224 -2.890099
5720.0 -0.994269 -3.015017 -2.718266
5730.0 -1.389541 -3.002213 3.106122
5740.0 -1.006353 -3.023673 1.145491
5750.0 -1.019777 -2.432676 -2.961181
5760.0 -1.36181 -2.984047 0.976533
5770.0 -1.299042 -2.885897 -2.954563
5780.0 -1.053711 -2.788763 -3.098949
5790.0 -1.132626 -3.109375 0.931056
5800.0 -1.348666 -3.088613 -2.98783
5810.0 -1.172862 2.525056 -2.820185
5820.0 -0.937348 2.937345 -2.997317
5830.0 -1.084199 2.589438 -3.009524
5840.0 -1.125748 2.617301 -2.722663
5850.0 -1.157862 -2.789252 -2.984613
5860.0 -1.08244 3.091808 3.052914
5870.0 -0.902511 3.068554 -3.062527
5880.0 -1.228656 -3.005322 -2.93571
5890.0 -1.224908 -2.641975 3.062127
5900.0 -1.085101 -2.737301 -2.863344
5910.0 -1.266146 2.92978 -2.872844
5920.0 -1.231352 -2.356826 1.02077
5930.0 -1.319109 -2.942376 -2.789907
5940.0 -1.587207 -3.003202 -2.77758
5950.0 -1.208109 -2.844829 -3.009644
5960.0 -0.986304 2.906976 -2.980318
5970.0 -1.292098 3.105421 -2.789062
5980.0 -1.213468 3.123713 -3.002135
5990.0 -1.345797 -3.000252 -2.774607
6000.0 -1.178691 2.364403 -2.767358
6010.0 -1.359728 2.948633 -3.062421
6020.0 -1.423444 -2.957092 -2.769134
6030.0 -1.181296 3.012955 -2.910003
6040.0 -1.24823 3.055984 -2.744848
6050.0 -1.192658 2.569085 -2.861903
6060.0 -1.039073 -2.529367 -3.13283
6070.0 -1.187557 -3.101154 -2.667374
6080.0 -1.24265 -2.909594 -2.990934
6090.0 -1.116337 -2.927198 -2.791455
6100.0 -1.335974 3.085718 -2.950197
6110.0 -0.955591 -2.94596 3.036017
6120.0 -1.179378 3.119448 -3.095651
6130.0 -1.180701 3.116768 -3.081008
