time phi1_2 psi1_2 phi2_3 psi2_3 phi3_4 psi3_4 omega3_4
2210.0 -1.936224 1.229186 -0.895186 1.844007 1.406053 2.804112 0.952781
2220.0 -1.49619 1.997486 -1.798189 1.519161 1.59891 -2.990868 -2.738642
2230.0 -0.983497 -0.631606 -1.101819 2.053569 1.489229 3.058517 1.266549
2240.0 -1.080712 -0.709391 -1.340981 2.049134 0.989356 -3.064306 1.034628
2250.0 -1.411079 2.173003 -1.454643 1.527319 0.874482 2.863293 -3.075941
2260.0 -1.521414 1.745107 -1.469001 2.147066 1.406183 -2.954073 1.161635
2270.0 -1.3689 1.693157 -1.470812 1.44945 1.007984 3.077036 3.063645
2280.0 -1.655906 1.11636 -1.585549 1.733751 1.278415 3.104387 2.99021
2290.0 -1.902304 1.467966 -1.404933 1.563695 1.40876 2.808685 1.187254
2300.0 -1.502781 2.059548 -1.11213 1.696531 1.200073 -3.08331 -3.128844
2310.0 -1.78525 1.203044 -1.594262 1.386039 1.317445 3.069938 3.067908
2320.0 -1.772087 1.409236 -1.569885 1.363402 1.164113 -3.097909 -2.988621
2330.0 -1.827827 1.470359 -1.560553 1.742183 1.130639 -2.769699 3.112715
2340.0 -1.261581 2.292369 -1.15766 2.040596 1.230231 2.776825 0.952837
2350.0 -1.356592 2.392656 -1.424998 2.216471 1.321445 -3.040425 0.978651
2360.0 -1.316739 1.943965 -1.473499 1.855052 1.137208 2.88406 1.169007
2370.0 -1.242647 2.046451 -1.425257 1.698812 1.29464 -2.949012 0.927307
2380.0 -1.234931 1.739753 -1.354157 1.571094 1.006718 -3.123237 0.817127
2390.0 -1.520258 1.877361 -1.32129 1.974734 1.262543 3.092159 0.892951
2400.0 -1.351985 1.603 -1.827139 1.41345 1.214254 -2.6827 -2.85451
2410.0 -1.340508 2.080677 -2.03787 1.520227 1.502916 -2.588248 -3.083864
2420.0 -1.601927 1.790387 -1.440816 1.556859 0.961118 2.985165 3.071881
2430.0 -1.518313 1.792508 -1.385462 2.243429 0.993885 2.862128 -3.107828
2440.0 -1.351985 1.839557 -1.862955 1.468017 1.10517 3.106525 -2.851319
2450.0 -1.238117 2.156746 -1.694669 1.454485 1.339033 3.12315 -2.967001
2460.0 -1.560783 2.158116 -1.22442 2.0204 1.188122 -3.130137 -3.001209
2470.0 -1.634483 2.234729 -1.111167 2.228583 1.06128 2.820842 -3.023402
2480.0 -1.545738 2.228249 -1.527401 1.281575 0.963054 3.093732 3.02591
2490.0 -1.339344 2.128461 -1.633005 1.093549 1.183203 -3.106964 -2.880109
2500.0 -1.38632 1.52644 -1.635056 1.210987 1.364893 3.005549 -3.078635
2510.0 -1.738593 1.73217 -1.852924 1.301085 1.123619 3.034438 2.998471
2520.0 -1.242408 1.854669 -1.811685 1.317993 1.359629 -2.829717 -3.003077
2530.0 -0.911478 2.050629 -1.399133 1.338377 1.095786 2.795151 2.929843
2540.0 -1.387746 1.38236 -1.390672 0.97521 1.05309 -3.029898 3.078403
2550.0 -1.66711 1.695968 -2.935777 1.545364 1.008592 3.134708 1.019166
2560.0 -1.700606 1.198822 -1.65981 0.993656 0.819634 3.109379 -2.998718
2570.0 -1.650212 1.233213 -1.550912 1.437303 1.16506 -2.745898 -3.123777
2580.0 -1.743267 1.421191 3.043964 1.226623 0.872949 -3.129672 0.89432
2590.0 -1.959478 1.464928 -1.655873 1.276755 1.065784 2.896575 -2.941722
2600.0 -1.246188 1.992224 -1.26982 2.348744 1.010442 -3.008858 3.047847
2610.0 -1.140116 2.240596 -0.88096 2.517407 1.493789 -3.045134 -3.1348
2620.0 -1.179942 2.285963 -1.053867 2.407525 1.388827 -2.860625 -2.923686
2630.0 -1.869727 1.331241 -1.371084 1.988205 1.231322 2.996192 -2.963856
2640.0 -1.0787 2.036625 -1.241726 1.94121 1.185664 2.838838 -3.029746
2650.0 -1.537083 1.77979 -1.588346 1.330949 1.208882 -2.920634 -2.955241
2660.0 -1.476113 1.74322 -1.789144 1.483102 1.425799 -2.989206 -3.085105
2670.0 -1.794264 1.355265 -1.330629 1.616148 1.005851 2.925773 3.072748
2680.0 -1.404931 2.155112 -1.488354 2.176076 1.096195 -3.038806 -2.987745
2690.0 -1.919784 1.162646 -1.797865 1.964206 0.831611 -3.092696 3.054624
2700.0 -1.40012 2.024215 -1.308452 2.065524 1.145936 2.545493 -3.099726
2710.0 -1.307926 2.035293 -0.8817 1.775008 0.989454 3.012107 3.053987
2720.0 -1.440323 2.091313 -1.371849 2.185852 1.089525 -3.13122 3.121831
2730.0 -1.740918 1.428725 -1.553696 1.313241 1.241772 3.124178 3.028553
2740.0 -2.068821 1.566957 -1.49673 1.973925 1.017188 2.780761 3.059686
2750.0 -1.77694 1.193449 -0.780327 -0.721903 1.251984 3.059454 -2.756424
2760.0 -1.813742 1.286329 -2.067989 1.700152 1.173361 -2.716103 -2.949604
2770.0 -1.33454 1.864018 -1.28407 1.963716 1.191201 -3.055557 2.966238
2780.0 -1.460619 1.77384 -1.333149 2.1374 1.122459 -3.095248 3.033297
2790.0 -1.970191 1.12488 -1.392112 1.841266 1.182142 1.824375 3.117496
2800.0 -1.446191 1.03664 -1.152453 1.853925 1.261131 2.96051 2.955813
2810.0 -1.795371 1.118489 -1.159079 2.08867 0.958824 -3.120936 -2.96891
2820.0 -1.69722 1.315851 -1.237152 1.7141 1.190054 2.75993 3.089389
2830.0 -1.491535 1.334711 -1.489904 2.012643 1.272599 -3.118482 2.99609
2840.0 -1.743743 0.749298 -1.672713 2.001984 0.984261 -2.903837 -3.066346
2850.0 -1.488088 0.994333 -0.973599 -0.350958 1.288308 3.120669 -2.890977
